DATE,TITLE,SUMMARY
2024-09-09 16:00:00,Why Harris and Trump are debating the F-word,All the campaign chatter about a “ban” on fracking is masking a much bigger divide about climate and energy policy.
2024-09-10 16:00:00,Here are our debate questions for Harris and Trump,Here are some of POLITICO's top policy questions for the two nominees at possibly their only debate.
2024-09-13 22:20:11,"Trump’s ‘meme-level’ energy attacks aren’t landing, fossil fuel supporters concede","The GOP nominee has made dubious claims about U.S. oil output, pipelines and Vice President Kamala Harris' plans for fracking, experts say, ignoring some easy targets."
2024-09-13 21:06:00,Big steelmaker weighs abandoning $500M Biden climate grant,Cleveland-Cliffs wariness comes amid growing headwinds to President Joe Biden's efforts to curb greenhouse gas emissions from the industrial sector.
2024-09-13 20:03:46,Descending hundreds of feet into Michigan nickel and copper mine,
2024-09-15 11:00:00,They died with the AC off. Why the government pays for heating but not cooling.,Federal agencies are racing to address climate change. But the government does almost nothing to prevent thousands of people from dying of extreme heat.
2024-09-15 11:00:00,They died with the AC off: Why the government pays for heating but not cooling,Federal agencies are racing to address climate change. But the government does almost nothing to prevent thousands of people from dying of extreme heat.
2024-09-20 16:08:32,Constellation to restart Three Mile Island nuclear plant in deal with Microsoft,Microsoft will purchase power from the plant in an effort to offset additional demand from its data centers.
2024-09-22 16:00:00,Trump looms over Climate Week as UN returns,Discussions about the U.S. election are expected to shape the environmental mega-gathering.
2024-09-24 09:00:00,Biden climate chief says there isn't much spending GOP can claw back from IRA,"Ali Zaidi sees momentum for the clean energy transition, even as GOP nominee Donald Trump and Republican lawmakers are hoping to roll back President Joe Biden's climate law."
2024-09-24 22:19:14,Biden on his climate legacy: ‘We did it’,The president celebrated his environmental successes and took aim at former President Donald Trump.
2024-09-29 16:00:00,Climate world still has no solution to Trump 2.0,The potential reelection of the former Republican president is causing anxiety in the global climate community.
2024-09-30 09:00:00,Inside the GOP fight to lead an influential House energy committee next Congress,"Over the last two months, the POLITICO Energy podcast has sat down with the two contenders of the race: Reps. Brett Guthrie and Bob Latta."
2024-10-03 16:08:38,Israel could bomb Iran's oil. Energy markets aren't panicking.,"President Joe Biden said officials are ""in discussion"" about a possible Israeli strike on Iran's oil facilities. But the world's oil supply has new ways to get around."
2024-10-02 20:48:14,‘It’s going to be a mess’: The flood insurance crisis following Helene’s wreckage,"Only 2 percent of households in flooded parts of Georgia, North Carolina and South Carolina can get insurance payments."
2024-10-03 20:25:53,Why North Carolina wasn’t prepared for Helene,The N.C. climate change plan warned four years ago the state’s western mountains were vulnerable to extreme weather and “even Asheville itself is not immune.”
2024-10-03 20:23:39,"Trump refused to give California wildfire aid until told how many people there voted for him, ex-aide says",Former White House advisers said Trump hesitated as president to provide disaster aid to California because of the state's Democratic leanings.
2024-10-03 16:08:38,Israel could bomb Iran's oil. Energy markets are noting it but not panicking.,President Joe Biden's remarks about a possible Israeli strike on Iran's oil facilities caused a jolt Thursday. But the world's oil supply has new ways to get around.
2024-10-05 16:51:27,"After the deluge, the lies: Misinformation and hoaxes about Helene cloud the recovery","Far-out tales of space lasers, fake snow and weather control technology — sometimes tinged with antisemitism — have spread after recent natural disasters."
2024-10-06 16:39:00,FEMA director on misinformation: ‘Truly dangerous narrative’,"“It's frankly ridiculous, and just plain false. This kind of rhetoric is not helpful to people,” Deanne Criswell said."
2024-10-06 07:11:00,Inside the North Carolina mountain town that Hurricane Helene nearly wiped off the map,"In just a matter of minutes, nature undid most of what it has taken humans 125 years to build in Chimney Rock."
2024-10-07 17:45:41,Milton raises stakes for Congress to pass more disaster aid,The growing hurricane will hit Florida with lawmakers away from Washington until next month.
2024-10-08 14:27:25,‘The worst I have ever seen’: Disinformation chaos hammers FEMA,"Conspiracies and rumors are hurting recovery and relief efforts, warned FEMA Administrator Deanne Criswell."
2024-10-08 01:51:34,US disaster programs are teetering. Milton could topple them.,Three pillars of federal relief are at risk of running out of money within weeks.
2024-10-09 14:00:00,Georgia EV plant backed by the climate law sparks water war,Hyundai’s factory shows how clean energy projects supported by the Inflation Reduction Act are facing backlash for potential harm to the environment.
2024-10-10 14:48:11,FEMA spent nearly half its disaster budget in just 8 days,"Without more funding, the agency may be forced to suspend rebuilding projects and focus on life-saving operations."
2024-10-11 16:15:39,Scientists say climate change boosted Milton rainfall and winds,The findings come just days after the same research group found climate change also intensified Hurricane Helene.
2024-10-11 21:30:01,How scientists pinpoint climate’s ‘telltale signs’ on Hurricanes Milton and Helene,"POLITICO discussed the emergence of attribution science and the human fingerprints on Helene and Milton with Gabriel Vecchi, a Princeton University professor of geosciences."
2024-10-11 20:49:11,Hurricanes do little to move Republicans on climate,Recent storms have devastated numerous conservative districts. That doesn’t mean their lawmakers will change course.
2024-10-13 04:05:00,Historic ocean liner could soon become the world’s largest artificial reef,"The 1,000-foot-long SS United States still holds the transatlantic speed record it set more than 70 years ago."
2024-10-14 14:00:00,How ‘green’ inhalers could evade Biden’s drug pricing legacy,"The Biden administration has reformed Medicare, gone after bogus drug patents and pushed pharmaceutical companies to reduce inhaler costs for patients. “Climate-friendly inhalers” could jeopardize those wins."
2024-10-15 19:37:12,Feds are sweating a Trump comeback,"They’re finalizing Biden priorities, dusting off their resumes and delaying home repairs as they fear losing their jobs."
2024-10-15 09:00:00,DOE’s No 2: Congress needs to move on permitting reform,"David Turk sat down recently for an extended interview with POLITICO Energy host Josh Siegel, and his comments come as the lame duck session looms and a permitting bill in the Senate is gathering momentum."
2024-10-16 14:00:00,Why North Carolinians probably won’t take the federal buyouts after Hurricane Helene,"Aid workers, community groups and environmental organizations say few people are likely to take advantage of federal programs to help move out of flood-damaged homes that are flush with new funding from Congress."
2024-10-15 19:37:12,‘They’re so vindictive’: Why some federal employees are fearing Trump 2.0,"They’re finalizing Biden priorities, dusting off their resumes and delaying home repairs as they fear losing their jobs."
2024-10-16 20:31:43,Supreme Court lets Biden’s power plant climate rule take effect,The justices said relief isn't necessary right now because the D.C. Circuit has fast-tracked the case.
2024-10-19 20:00:00,"This possible Trump adviser says electric cars, walkable cities and even talking about climate change are harmful","Former Ambassador Carla Sands focuses on energy issues at the America First Policy Institute, a Trump-aligned think tank."
2024-10-21 20:58:34,The GOP’s electric car attacks crash into Dems’ closing message,"In Michigan, New York, Montana and elsewhere, Republicans have seized on Biden administration electric vehicle policies."
2024-10-23 16:00:00,GOP-linked firm gathers info on people suing the oil industry. It won’t say why.,An opposition research group appears to be trying to undermine a lawsuit that accuses oil companies of causing a deadly heat wave in Oregon.
2024-10-25 18:00:00,‘Outrageous abuse of power’: Trump spurned disaster pleas amid feud with governor,Democratic Washington Gov. Jay Inslee had to wait until President Joe Biden took office to get help for a deadly wildfire that occurred during the Trump administration.
2024-10-28 18:23:26,Federal ocean agency closes RFK Jr. whale carcass investigation,NOAA’s Office of Law Enforcement determined the allegation “to be unfounded.”
2024-10-28 16:00:00,"6 months later, many voters unsure what to make of Biden’s billions","A hard-fought presidential campaign has yet to persuade majorities of voters that the president's landmark spending initiatives have made their lives better, a new POLITICO-Morning Consult poll found."
2024-10-28 09:00:00,How fracking and EVs could swing election in Blue Wall states,"To understand how these issues are swaying voters one way or the other in these states, POLITICO Energy host Josh Siegel spoke with two researchers."
2024-10-29 14:00:00,Biden’s energy push sends Nevada into Bizarro World,Conservative mining towns are benefitting under the IRA while Democratic voters skewer the Biden-Harris administration for opening the desert to solar farms.
2024-10-30 09:00:00,Old and new energy do battle in New Mexico,The sprawling congressional district that spans southern New Mexico is divided.
2024-10-31 14:00:00,The world acted too late to avert climate catastrophes. Now the US effort to deal with them is struggling.,A $33.6 billion initiative aims to harden the nation's defenses against a warming world. Some communities are still waiting for help.
2024-11-01 16:00:00,But their emails: Federal employees’ communications swept up in conservatives’ dragnet,Right-leaning groups have filed tens of thousands of information requests as Donald Trump plans a scorched-earth reign over civil servants.
2024-11-01 20:57:18,FEMA didn’t answer almost half the calls it received for disaster aid,Hurricanes Helene and Milton have left the Federal Emergency Management Agency struggling to handle phone calls from survivors and maintain staffing.
2024-11-03 17:00:00,Chinese companies use Biden’s climate law to expand their solar dominance,The president tried to weaken China’s control over solar parts globally by funding U.S. manufacturing plants. But Chinese companies are tapping into the cash.
2024-11-04 21:43:19,Republicans grapple with messaging on Biden climate law,Democrats have been deploying the Inflation Reduction Act against moderate Republicans in tough races. The Trump campaign is also feeling the heat.
2024-11-07 19:00:00,RFK Jr.’s plan to ban fluoridation? Work’s already underway,Emerging research about excessive fluoride exposures and a recent ruling from an Obama-nominated judge could ease the path to a federal turnabout.
2024-11-07 18:49:31,"Soaring temperatures to set new global heat record, surpassing last year's mark",Full-year temperatures are expected to rise 1.5 C above pre-industrial levels for the first time ever.
2024-11-07 17:00:00,"With Trump’s win, Biden’s historic climate policies are poised to be undone","The president-elect vowed to promote fossil fuels, weaken pollution regulations and reverse Biden climate efforts."
