INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2024-09-05 12:39:57.603437,2024-09-05 15:18:23,Start-Up Investors Push Back Against Venture Capital’s Bigger-Is-Better Mantra,A small but vocal group is forming new funds and taking new approaches to counter the swell of money into venture capital in recent years.
1,2024-08-30 12:39:54.776171,2024-09-03 22:09:42,Silicon Valley Wants to Fight Fires With Fire,How some high-tech entrepreneurs are trying to use new forms of technology to solve the problem of mega-wildfires in the age of climate change.
2,2024-08-30 12:39:54.776171,2024-08-30 04:01:31,"En Honduras, una ciudad con fines de lucro podría fracasar","El sueño de Próspera, fundada por una empresa de EE. UU. frente a la costa de Honduras, era escapar al control gubernamental. Hoy, el gobierno hondureño quiere que desaparezca."
3,2024-08-29 12:39:54.149219,2024-08-29 04:00:19,Can China Tech Find a Home in Silicon Valley?,"Entrepreneurs and venture capitalists are setting up firms across the Pacific, only to find that any investment with Chinese ties is a hard sell."
4,2024-08-28 12:39:53.604615,2024-08-29 20:08:31,"Meghan Markle Funds Cesta Collective, Expanding Her Investments in Small Brands",At least when it comes to investing. The latest addition to her portfolio: the handbag brand Cesta Collective.
5,2024-08-28 12:39:53.604615,2024-08-28 09:04:01,The For-Profit City That Might Come Crashing Down,"The dream of Próspera, founded by a U.S. corporation off the coast of Honduras, was to escape government control. The Honduran government wants it gone."
6,2024-08-28 12:39:53.604615,2024-08-28 19:16:10,"Rick Vintage, the Wallpaper Designer, Finds Peace on a Houseboat","Rocked by success, a “wallpaper guy” has found peace and a tolerable amount of society on a canal in Amsterdam."
7,2024-08-27 12:39:52.940300,2024-08-27 04:00:38,"¿Quién es Pavel Durov, el fundador de Telegram que está detenido en Francia?","Su postura antisistema lo ayudó a crear una de las mayores plataformas en línea del mundo, que hace hincapié en la libertad de expresión. También lo convirtió en un objetivo de muchos gobiernos."
8,2024-08-27 12:39:52.940300,2024-08-26 21:14:38,"How Pavel Durov, Telegram’s Founder, Went From Russia’s Mark Zuckerberg to Wanted Man","Pavel Durov’s anti-establishment streak helped him create one of the world’s biggest online platforms, which emphasizes free speech. It also put a target on his back."
9,2024-08-23 12:39:51.070028,2024-08-23 13:25:22,"In Maine, a Father-Daughter Team Wins a Lobster Boat Race","Jeremy Beal, a boat builder and lobsterman, had a simple strategy: “Point it and punch it!” His 14-year-old daughter took it from there."
10,2024-08-22 12:39:50.660519,2024-08-21 16:42:04,Why Does This Jar of (Legal) Weed Cost $60? Hint: Taxes.,Following the rules is expensive for dispensaries and their customers in New York.
11,2024-08-18 12:39:48.398460,2024-08-19 01:09:08,A.I. Is Helping to Launch New Businesses,"Entrepreneurs say use of artificial intelligence for a variety of tasks is accelerating the path to hiring and, ideally, profitability."
12,2024-08-17 12:39:47.966109,2024-08-17 05:44:26,"Wally Amos, Enterprising Creator of Famous Amos Cookies, Dies at 88","With a background as a talent agent, his aunt’s recipe and a winning personality, he built one of the world’s best-known brands of baked goods."
13,2024-08-14 12:39:46.842818,2024-08-14 15:55:32,¿Suecia tiene la clave para que Europa vuelva a ser competitiva?,El país cuenta con una lista de empresas emergentes de más de 1000 millones de dólares y podría ser un modelo a seguir cuando la Unión Europea reformule sus políticas de crecimiento.
14,2024-08-13 12:39:46.483646,2024-08-14 14:15:22,La ilusión de un inversor de criptomoneda se desvanece en Puerto Rico,"Brock Pierce llegó a la isla hace siete años, prometiendo utilizar la criptomagia para revitalizar la economía local. Ahora está sumido en disputas legales y peleas con sus socios."
15,2024-08-13 12:39:46.483646,2024-08-14 16:52:50,Tether Co-Founder Faces the Unraveling of a Crypto Dream,"Brock Pierce arrived in Puerto Rico seven years ago, promising to use crypto magic to revitalize the local economy. Now he’s mired in legal disputes and fighting with his business partners."
16,2024-08-13 12:39:46.483646,2024-08-25 08:54:34,Can This Country Show Europe How to Compete Again?,"Sweden outperforms in tech, has a roster of $1 billion-plus start-ups and could be a model as the European Union refigures its growth policies."
17,2024-08-12 12:39:45.994127,2024-08-29 18:16:12,Can Free Rent Revive Downtown San Francisco?,"The city, which is among those most devastated in the country after the pandemic, is trying to lure businesses back with a free-rent period."
18,2024-08-08 17:59:39.946798,2024-08-08 13:19:29,How Beverly Nguyen Made a Name in NYC’s Fashion and Culture Scenes,"Beverly Nguyen, a stylist, editor and merchant, has become a new soft power broker in New York."
19,2024-08-06 17:59:39.009585,2024-08-06 16:02:34,Why Are Silicon Valley Therapists Becoming Tech Coaches?,"In the Bay Area, therapists are embracing a new kind of practice: advising executives on becoming their best selves."
