DATE,TITLE,SUMMARY
2021-08-04 17:26:08,Cuomo's lieutenant governor walks fine line as boss's political future is in doubt,"In March, when New York Gov. Andrew Cuomo was facing intense public pressure from fellow Democrats to resign in the wake of numerous sexual harassment allegations, his lieutenant governor, Kathy Hochul, would only issue a call to first let an investigation run its course."
2021-08-03 21:31:09,Biden calls on Andrew Cuomo to resign after report details sexual harassment allegations,"White House press secretary Jen Psaki said President Joe Biden will address the findings of an investigation into New York Gov. Andrew Cuomo Tuesday afternoon, calling the sexual harassment allegations against the Democrat ""abhorrent."""
2021-08-03 22:37:29,"New York Gov. Andrew Cuomo sexually harassed multiple women, state attorney general report says","The New York attorney general's investigation into sexual harassment allegations against Democratic Gov. Andrew Cuomo found that Cuomo sexually harassed multiple women, Attorney General Letitia James announced Tuesday."
2021-08-04 12:04:24,Key findings of the Andrew Cuomo sexual harassment report -- and what's next,"New York's Democratic Gov. Andrew Cuomo sexually harassed 11 women and created a ""hostile"" work environment for women, a report released Tuesday by New York Attorney General Letitia James said."
2021-08-04 11:29:34,Biden shows he's ready to make drastic moves in Covid-19 fight -- even if he's not sure they're legal,Even President Joe Biden doesn't know whether his new federal eviction moratorium for renters is legal and sustainable. But crushing humanitarian and political pressure left him no choice but to take a chance on an emergency move.
2021-08-04 15:01:49,Trump asks court to end House pursuit of his tax returns from IRS,"Former President Donald Trump's legal team formally stepped into a long-running fight over a US House request for his tax returns, claiming Trump's financial history is being unfairly pursued for political reasons by Democrats and seeking to end House Ways and Means Committee investigations into the ex-President and his companies."
2021-08-04 17:58:01,Suspect in Pentagon attack identified as Austin William Lanz of Georgia,"The suspect in the violent attack outside the Pentagon on Tuesday that resulted in a death of a Pentagon police officer has been identified as 27-year-old Austin William Lanz of Georgia, according to a law enforcement official and Lanz's former attorney Lisa Wells. Lanz died from injuries sustained in the attack, Wells told CNN."
2021-08-04 17:58:56,Pentagon identifies police officer killed in attack outside Pentagon metro station,The Pentagon Force Protection Agency identified the officer who was killed after sustaining injuries during a violent incident at the Pentagon Metro station area Tuesday as Pentagon police officer George Gonzalez.
2021-08-04 17:33:42,"Judge to Capitol riot defendant: 'Patriotism is loyalty to country, loyalty to the Constitution'",A federal judge rejected the argument that US Capitol rioters held in jail are being prosecuted for their political views and disavowed attempts to downplay the magnitude of the deadly insurrection during a sentencing on Wednesday.
2021-08-04 17:07:26,ABC News: Trump loyalist at DOJ circulated draft Georgia letter with false election fraud claims,A draft letter reportedly circulated late last year by a Donald Trump-loyalist at the Justice Department shows the lengths his allies were willing to go to overturn the presidential election.
2021-08-03 22:23:46,"CDC announces limited, targeted eviction moratorium until early October","The Biden administration is expected to announce new efforts aimed at limiting evictions, according to an administration official, though details of the effort -- and what effect it would have -- are still unclear."
2021-08-04 02:25:37,Here's how impeachment proceedings against Andrew Cuomo would work,New York Gov. Andrew Cuomo's resistance to leaving office after a damning investigation from the New York attorney general's office has prompted renewed calls for his impeachment across the state.
2021-08-04 10:41:39,4 takeaways from Ohio's special congressional primaries,"In two Ohio congressional primaries Tuesday, Democratic voters embraced the party's establishment, delivering President Joe Biden another ally and denying the left-wing ""Squad"" its latest member. Republicans, meanwhile, stuck with former President Donald Trump."
2021-08-04 17:57:44,Environment groups plan pro-climate pressure campaign during August recess,"Two key climate groups are planning a multi-state blitz of ads and in-person events during the upcoming August recess, encouraging lawmakers to go big and bold on climate legislation."
2021-08-04 03:01:22,"Police officer dies following shooting outside the Pentagon building, law enforcement sources say","The Pentagon is locked down with no personnel allowed outside due to a ""shooting event"" that happened outside the building on a bus platform, according to the Pentagon Force Protection Agency."
2021-08-04 15:01:00,READ: NY AG report into harassment allegations against Gov. Andrew Cuomo,
2021-08-04 01:45:52,"Mike Carey, endorsed by Trump, will win Ohio GOP special primary, CNN projects","Mike Carey, a coal lobbyist who was endorsed by former President Donald Trump, will win the Republican special primary in Ohio's 15th Congressional District, CNN projects."
2021-08-04 03:13:54,Shontel Brown poised to win Ohio Democratic special primary,Cuyahoga County Council member Shontel Brown is set to win the Democratic special primary in Ohio's 11th Congressional District after her opponent Nina Turner conceded Tuesday night.
2021-08-04 01:52:55,Will Cuomo resign? Powerful men have a history of not backing down,The most powerful men in politics. They're often rewarded for having no shame.
2021-08-03 13:40:44,Four officers who responded to January 6 attack have died by suicide,"A DC police officer who responded to the US Capitol insurrection has died by suicide, according to the Metropolitan Police Department."
2021-08-03 19:47:53,White House moves to highlight key piece of bipartisan deal as some allies question whether it goes far enough,"The White House, fresh off securing a $1.2 trillion bipartisan infrastructure deal, plans to move in the coming days to highlight one of the thorniest pieces of that negotiation, according to a White House official: the $39 billion in new transit funding."
2021-08-04 03:18:54,White House mourns recent suicides among officers who responded to Capitol insurrection: 'A sad reminder' of January 6 attack,"White House press secretary Jen Psaki on Tuesday mourned two recent suicides of police officers who had responded to the US Capitol insurrection, calling their deaths ""a sad reminder of that shameful day in our country's history."""
2021-08-03 16:22:45,Harris to promote 'America is back' message in Singapore and Vietnam,"Vice President Kamala Harris is set to travel to Singapore and Vietnam later this month, becoming the highest-ranking Biden administration official to visit Asia so far."
2021-08-03 13:39:39,White House celebrates US reaching 70% of US adults getting at least one Covid-19 vaccine shot,"The US Centers for Disease Control and Prevention reported on Monday that 70% of US adults have received at least one Covid-19 vaccination shot, reaching President Joe Biden's July Fourth goal about one month late."
2021-08-04 02:32:11,"'If you aren't going to help, please get out of the way': Biden turns up the pressure on GOP governors as Delta spreads","President Joe Biden on Tuesday will provide an update on his administration's Covid-19 vaccination efforts as the highly contagious Delta variant rips across the country, a White House official tells CNN."
2021-08-01 22:00:31,Biden officials say US is still better off than earlier in pandemic despite new steps to fight Delta variant,"Biden administration officials on Sunday sought to message urgent steps taken last week to contain an increase in Delta variant Covid-19 cases as necessary to keep Americans safe, even as they said the country remains in a far better place than earlier in the pandemic."
2021-07-31 04:02:17,The pandemic turning point the White House didn't want,President Joe Biden is tired of wearing a mask.
2021-08-01 13:41:44,Analysis: Biden's Buy American push is good politics but bad economics,"With votes in the Senate to advance his bipartisan compromise last week, President Joe Biden took a big step toward upgrading America's infrastructure."
2021-08-02 21:44:15,Biden administration expands access to refugee program for Afghans who worked with US,The State Department announced Monday that it will expand access to the US refugee program for certain Afghans amid fears of reprisal by the Taliban as the US military withdrawal nears completion.
2021-07-28 18:52:49,Biden proposes strengthening Buy American rules to boost American manufacturing,President Joe Biden on Wednesday proposed strengthening the federal government's Buy American rules in an attempt to boost American manufacturing.
