INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-04 15:01:59.854585,2021-08-04 19:01:02,Arizona biology teacher sues district over student mask mandate,An Arizona high school biology teacher has filed a lawsuit against the Phoenix Union High School District arguing that its mask mandate goes against a new state law.
1,2021-08-04 15:01:59.854585,2021-08-04 18:54:09,"Biden admin is 'intimately involved' with critical race theory, former Trump official says","The Biden administration backtracked on its promotion of a critical race theory group only after officials were “caught with their hand in the cookie jar,” Russ Vought told Fox News in an exclusive interview."
2,2021-08-04 15:01:01.932100,2021-08-04 18:47:32,Race Imboden displays 'X' on hand during medal ceremony in protest of Olympic rule,U.S. fencer Race Imboden says that black “X” drawn on the back of his hand after winning the bronze medal in the men’s foil event was a “symbol of solidarity” and was meant to violate the Olympics rule on political demonstrations.
3,2021-08-04 15:01:01.932100,2021-08-04 18:43:47,Ga. Lt. Gov. Duncan: How we RE-fund our law enforcement agencies without raising taxes or increasing debt,Our government's most basic responsibility is to keep us safe. In major cities across America that's not happening right now.
4,2021-08-04 15:01:01.932100,2021-08-04 18:41:33,Texas border city puts up temporary shelters to cope with ‘rapidly escalating’ migrant surge,"The Texas border city of McAllen on Wednesday announced it is setting up temporary emergency shelters in response to what it describes as a ""rapidly escalating"" surge in migrants flooding across the border — and warning that the numbers are triggering a crisis in the city."
5,2021-08-04 15:01:01.932100,2021-08-04 18:40:46,Reporter's Notebook: Beware the Ides of August — and maybe December and January too,"The House isn't scheduled to be in session at all this month, but there's a strong likelihood the House will have to return later this month."
6,2021-08-04 15:01:01.932100,2021-08-04 18:32:30,White House silent on Rashida Tlaib's latest 'anti-Semitic dog whistling' remarks,Rep. Rahida Tlaib came under fire from ADL president Jonathan Greenblatt for her comments claiming that people working “behind the curtain” to stop a “free Palestine” are “profiting” off Americans.
7,2021-08-04 15:01:01.932100,2021-08-04 18:28:15,"NJ man charged with breaching Capitol, assaulting police officer set to plead guilty","A New Jersey man indicted for his role in the insurrection at the Capitol in Washington, D.C., on Jan. 6 is set to plead guilty, his attorney said Wednesday."
8,2021-08-04 15:01:01.932100,2021-08-04 18:26:29,"Biden has 'no plans' to call Cuomo to ask for resignation, won't weigh in on New York impeachment: Psaki","White House press secretary Jen Psaki said Wednesday that President Biden has ""no plans"" to personally call embattled New York Gov. Andrew Cuomo and ask for his resignation."
9,2021-08-04 15:01:01.932100,2021-08-04 18:18:42,"Leo Terrell: Cuomo vs. Kavanaugh is classic example of 'rules for thee, not for me'",Fox News contributor Leo Terrell took aim at Governor Cuomo and questioned why the Democratic legislature didn't complete their own investigation when the sexual harassment allegations were made.
